room_id,host_id,room_type,borough,neighborhood,reviews,overall_satisfaction,accommodates,bedrooms,price,minstay,latitude,longitude,last_modified
15195399,96485653,Private room,,South Boston,9,4.0,2,,125.0,1.0,42.332631,-71.047469,2016-11-21 12:13:32.196270
7633883,814298,Entire home/apt,,Beacon Hill,7,5.0,6,,769.0,2.0,42.357378,-71.071351,2016-11-21 12:13:29.847956
5174821,26766201,Private room,,Charlestown,50,4.5,2,,150.0,1.0,42.380182,-71.068291,2016-11-21 12:12:14.011686
14124430,21184200,Entire home/apt,,Beacon Hill,10,5.0,8,,195.0,1.0,42.35976,-71.067595,2016-11-21 12:11:31.110415
12707324,69077492,Private room,,Mission Hill,2,,1,,41.0,1.0,42.333636,-71.11103,2016-11-21 12:10:40.979259
15581608,44341268,Entire home/apt,,Back Bay,5,4.5,2,,130.0,,42.347983,-71.085293,2016-11-21 12:10:29.339507
13955674,83107234,Shared room,,Dorchester,5,5.0,1,,55.0,1.0,42.31221,-71.077375,2016-11-21 12:10:25.372806
7403927,405376,Private room,,Brighton,3,4.5,4,,125.0,2.0,42.351352,-71.168588,2016-11-21 12:10:10.898682
15041925,9795590,Private room,,Brighton,4,4.5,2,,75.0,3.0,42.353649,-71.146812,2016-11-21 12:09:24.455623
3420221,9189449,Private room,,Allston,39,4.5,2,,65.0,1.0,42.353398,-71.142355,2016-11-21 12:09:06.675667
14655187,23775896,Private room,,Allston,1,,2,,59.0,2.0,42.353689,-71.141545,2016-11-21 12:08:51.987818
72811,378555,Private room,,Allston,126,4.5,2,,62.0,2.0,42.356861,-71.130578,2016-11-21 12:08:49.677911
225224,85770,Private room,,South End,206,4.5,1,,98.0,1.0,42.346428,-71.07503,2016-11-21 12:07:52.548277
13379155,76032537,Private room,,Roxbury,3,4.0,1,,52.0,1.0,42.338918,-71.083968,2016-11-21 12:07:48.241083
9757412,50318988,Private room,,South End,16,5.0,1,,89.0,1.0,42.33676,-71.075762,2016-11-21 12:07:23.639784
177129,847253,Private room,,Dorchester,132,4.5,3,,69.0,2.0,42.293428,-71.067731,2016-11-21 12:06:26.297089
9860,25188,Entire home/apt,,Back Bay,22,4.5,2,,251.0,2.0,42.354115,-71.074414,2016-11-21 12:05:25.391835
15525301,28820575,Private room,,East Boston,1,,2,,71.0,1.0,42.37098,-71.036599,2016-11-21 12:04:21.872916
1178162,1407005,Private room,,East Boston,231,4.5,2,,95.0,1.0,42.377796,-71.034666,2016-11-21 12:03:58.664856
15041595,63218173,Entire home/apt,,Allston,3,5.0,14,,399.0,2.0,42.357952,-71.135277,2016-11-21 12:03:50.625017
15314862,95149473,Entire home/apt,,Downtown,4,5.0,6,,159.0,2.0,42.359381,-71.052653,2016-11-21 12:03:17.215929
9971054,51236938,Private room,,Jamaica Plain,30,4.5,2,,50.0,1.0,42.303371,-71.115007,2016-11-21 12:03:00.820049
1886037,1587128,Entire home/apt,,Beacon Hill,1,,4,,230.0,7.0,42.360561,-71.071406,2016-11-21 12:00:57.318434
5191103,26476398,Private room,,East Boston,4,3.5,2,,80.0,1.0,42.37661,-71.029311,2016-11-21 12:00:00.686121
1648950,1369968,Entire home/apt,,Beacon Hill,87,4.5,2,,195.0,7.0,42.359279,-71.069234,2016-11-21 11:59:48.575912
13926704,40995423,Private room,,East Boston,0,,1,,48.0,10.0,42.389898,-71.00339,2016-11-21 11:58:18.873315
13318312,48291778,Entire home/apt,,Dorchester,0,,4,,49.0,1.0,42.315948,-71.041298,2016-11-21 11:57:46.192590
7554801,14840087,Private room,,Jamaica Plain,9,5.0,2,,65.0,5.0,42.322355,-71.10673,2016-11-21 11:57:20.445508
14075290,28820575,Private room,,East Boston,46,4.5,2,,76.0,1.0,42.368335,-71.036034,2016-11-21 11:56:36.626620
579605,71783,Entire home/apt,,Dorchester,10,4.5,4,,125.0,,42.322803,-71.061845,2016-11-21 11:56:26.009489
15255299,91548283,Entire home/apt,,Back Bay,14,4.5,2,,185.0,1.0,42.35069,-71.084758,2016-11-21 11:55:30.761639
6050928,2092815,Private room,,Brighton,3,4.5,2,,59.0,2.0,42.35631,-71.158306,2016-11-21 11:55:09.875889
2538536,16067950,Entire home/apt,,Jamaica Plain,21,5.0,3,,125.0,7.0,42.324874,-71.105567,2016-11-21 11:54:57.802370
2715779,178829,Private room,,Downtown,0,,4,,400.0,3.0,42.357936,-71.052213,2016-11-21 11:54:44.077503
14147343,34523300,Private room,,Back Bay,0,,2,,102.0,1.0,42.349598,-71.089346,2016-11-21 11:53:11.229155
15841378,98675078,Private room,,Dorchester,0,,1,,24.0,,42.291678,-71.07505,2016-11-21 11:52:32.130273
6716872,27805870,Private room,,Brighton,0,,1,,200.0,1.0,42.337229,-71.151433,2016-11-21 11:52:26.387338
7389719,38701026,Private room,,Dorchester,4,5.0,1,,40.0,3.0,42.286326,-71.090023,2016-11-21 11:51:53.603570
14818575,41538684,Entire home/apt,,Fenway,5,5.0,3,,135.0,,42.34959,-71.098559,2016-11-21 11:51:18.314224
4315439,22402141,Private room,,East Boston,1,,1,,80.0,7.0,42.389211,-71.002683,2016-11-21 11:51:08.071018
7708436,236790,Private room,,Jamaica Plain,39,5.0,2,,85.0,1.0,42.309838,-71.107524,2016-11-21 11:51:05.298358
1454258,7799789,Private room,,Dorchester,177,5.0,2,,100.0,1.0,42.308439,-71.046396,2016-11-21 11:50:29.163576
5222368,1532353,Private room,,Mission Hill,0,,1,,75.0,1.0,42.328959,-71.107284,2016-11-21 11:50:25.803611
14071446,18896448,Private room,,Jamaica Plain,6,5.0,2,,65.0,1.0,42.322496,-71.114758,2016-11-21 11:49:47.060525
14885796,86955930,Private room,,East Boston,3,5.0,4,,95.0,1.0,42.369613,-71.039277,2016-11-21 11:49:25.541317
15744292,100793001,Entire home/apt,,West Roxbury,0,,4,,140.0,2.0,42.268776,-71.16987,2016-11-21 11:48:37.806008
6445917,33653954,Entire home/apt,,Beacon Hill,28,5.0,2,,178.0,4.0,42.358514,-71.066474,2016-11-21 11:48:16.571853
13864415,19008767,Private room,,South Boston,9,4.5,2,,99.0,,42.339194,-71.049672,2016-11-21 11:47:47.185449
6629066,9410008,Entire home/apt,,South Boston,13,5.0,8,,500.0,2.0,42.335802,-71.044083,2016-11-21 11:47:32.826998
9299739,9830531,Entire home/apt,,Dorchester,3,5.0,5,,175.0,2.0,42.309889,-71.048526,2016-11-21 11:47:10.422772
1081386,2871556,Private room,,Roxbury,68,4.5,2,,80.0,2.0,42.330928,-71.071522,2016-11-21 11:47:00.723077
9346513,28358624,Entire home/apt,,Back Bay,8,5.0,2,,250.0,2.0,42.353292,-71.076973,2016-11-21 11:46:13.763887
16004322,104040421,Entire home/apt,,Dorchester,0,,4,,78.0,1.0,42.318495,-71.068071,2016-11-21 11:46:07.293265
14094279,84808632,Private room,,South End,38,5.0,2,,155.0,1.0,42.344427,-71.064086,2016-11-21 11:45:44.976580
1885825,6391436,Private room,,Jamaica Plain,110,5.0,3,,80.0,3.0,42.30968,-71.117597,2016-11-21 11:44:57.716592
15007604,14199135,Private room,,East Boston,1,,2,,69.0,1.0,42.385278,-71.011515,2016-11-21 11:44:41.440496
15310203,51137683,Entire home/apt,,Jamaica Plain,3,5.0,4,,99.0,,42.312935,-71.096467,2016-11-21 11:44:39.431902
15486700,5126496,Entire home/apt,,Beacon Hill,0,,2,,295.0,5.0,42.360341,-71.069333,2016-11-21 11:44:32.550565
377474,119019,Entire home/apt,,Dorchester,19,4.5,10,,495.0,2.0,42.29839,-71.059312,2016-11-21 11:43:35.867896
8579799,5992030,Entire home/apt,,Allston,9,5.0,4,,175.0,2.0,42.349422,-71.129388,2016-11-21 11:42:49.198807
10611728,30283594,Entire home/apt,,Chinatown,3,5.0,3,,219.0,10.0,42.351146,-71.05989,2016-11-21 11:41:56.787125
4573388,5578043,Entire home/apt,,North End,57,4.5,6,,139.0,1.0,42.363812,-71.053423,2016-11-21 11:39:17.798599
189965,205107,Private room,,Charlestown,35,5.0,2,,125.0,3.0,42.375675,-71.060804,2016-11-21 11:37:58.535113
2174711,5618949,Entire home/apt,,Longwood Medical Area,108,4.5,4,,179.0,,42.339383,-71.100172,2016-11-21 11:37:54.976539
4494419,16442921,Private room,,Dorchester,2,,1,,59.0,3.0,42.313179,-71.056375,2016-11-21 11:37:48.574591
9841645,18683719,Private room,,South End,0,,2,,100.0,1.0,42.335473,-71.075021,2016-11-21 11:37:04.516314
14424180,20857768,Entire home/apt,,Downtown,2,,2,,289.0,4.0,42.356255,-71.061485,2016-11-21 11:36:48.075499
4402209,8139434,Private room,,Allston,23,5.0,2,,100.0,1.0,42.352081,-71.135991,2016-11-21 11:36:43.895206
9858437,7772875,Entire home/apt,,East Boston,37,4.0,5,,145.0,2.0,42.382161,-71.028838,2016-11-21 11:35:18.379468
7273770,4191762,Entire home/apt,,Jamaica Plain,5,4.5,4,,145.0,2.0,42.306064,-71.115161,2016-11-21 11:34:38.086984
11760822,50437930,Entire home/apt,,Brighton,40,5.0,4,,100.0,1.0,42.340296,-71.150788,2016-11-21 11:34:23.517854
7841193,41311781,Private room,,South Boston,1,,1,,85.0,1.0,42.338128,-71.028109,2016-11-21 11:33:47.632797
5871201,30283594,Entire home/apt,,Downtown,0,,3,,299.0,10.0,42.352846,-71.062368,2016-11-21 11:33:24.078157
10050765,30283594,Entire home/apt,,South Boston Waterfront,3,5.0,5,,419.0,3.0,42.353242,-71.047196,2016-11-21 11:33:15.827741
7869167,30283594,Entire home/apt,,Fenway,2,,3,,229.0,3.0,42.343749,-71.098828,2016-11-21 11:33:12.681858
15567962,100278968,Private room,,Charlestown,4,5.0,1,,90.0,1.0,42.375714,-71.065992,2016-11-21 11:32:26.384946
9407895,41317613,Shared room,,Mission Hill,11,3.5,1,,28.0,3.0,42.333804,-71.096172,2016-11-21 11:32:18.819508
9508099,1444340,Private room,,South Boston,2,,2,,144.0,2.0,42.341527,-71.057152,2016-11-21 11:32:07.092584
